"scope_id","takeaway_id","theme_title","comment_text","source_tag","sort_order"
"Overall","takeaway_1","Leadership and direction clarity","When leaders explain why priorities are changing, teams can adapt quickly without losing momentum.","Curated demo comment",1
"Overall","takeaway_1","Leadership and direction clarity","The strongest periods are when strategy is translated into a clear local plan instead of broad messaging.","Curated demo comment",2
"Overall","takeaway_1","Leadership and direction clarity","Decision context matters. People are more confident when tradeoffs are visible and sequencing is explicit.","Curated demo comment",3
"Overall","takeaway_1","Leadership and direction clarity","Communication improves when leaders close the loop on what changed and what did not.","Curated demo comment",4
"Overall","takeaway_2","Cross-team operating flow","Most delays happen at handoffs between teams where ownership is assumed rather than clarified.","Curated demo comment",5
"Overall","takeaway_2","Cross-team operating flow","Cross-functional work is smoother when teams agree on shared checkpoints before execution starts.","Curated demo comment",6
"Overall","takeaway_2","Cross-team operating flow","There is good intent to collaborate, but process consistency varies too much across groups.","Curated demo comment",7
"Overall","takeaway_2","Cross-team operating flow","Shared workflows would reduce rework and make responsibilities easier to track.","Curated demo comment",8
"Overall","takeaway_3","Workload sustainability","The pace is manageable when priorities stay stable, but repeated shifts create unnecessary pressure.","Curated demo comment",9
"Overall","takeaway_3","Workload sustainability","Teams are willing to stretch, though capacity planning still feels reactive in some areas.","Curated demo comment",10
"Overall","takeaway_3","Workload sustainability","People want a more sustainable rhythm with better sequencing and fewer last-minute changes.","Curated demo comment",11
"Overall","takeaway_3","Workload sustainability","Workload feels most reasonable when staffing, scope, and timelines are aligned early.","Curated demo comment",12
