"quote_id","theme_id","section","quote_text","sentiment","source_col"
"q_4","theme_1","Thematic Insights","Communication improves when leaders close the loop on what changed and what did not.","mixed","workbook_open_ended"
"q_3","theme_1","Thematic Insights","Decision context matters. People are more confident when tradeoffs are visible and sequencing is explicit.","mixed","workbook_open_ended"
"q_2","theme_1","Thematic Insights","The strongest periods are when strategy is translated into a clear local plan instead of broad messaging.","mixed","workbook_open_ended"
"q_1","theme_1","Thematic Insights","When leaders explain why priorities are changing, teams can adapt quickly without losing momentum.","mixed","workbook_open_ended"
"q_6","theme_2","Thematic Insights","Cross-functional work is smoother when teams agree on shared checkpoints before execution starts.","mixed","workbook_open_ended"
"q_5","theme_2","Thematic Insights","Most delays happen at handoffs between teams where ownership is assumed rather than clarified.","mixed","workbook_open_ended"
"q_8","theme_2","Thematic Insights","Shared workflows would reduce rework and make responsibilities easier to track.","mixed","workbook_open_ended"
"q_7","theme_2","Thematic Insights","There is good intent to collaborate, but process consistency varies too much across groups.","mixed","workbook_open_ended"
"q_11","theme_3","Thematic Insights","People want a more sustainable rhythm with better sequencing and fewer last-minute changes.","mixed","workbook_open_ended"
"q_10","theme_3","Thematic Insights","Teams are willing to stretch, though capacity planning still feels reactive in some areas.","mixed","workbook_open_ended"
"q_9","theme_3","Thematic Insights","The pace is manageable when priorities stay stable, but repeated shifts create unnecessary pressure.","mixed","workbook_open_ended"
"q_12","theme_3","Thematic Insights","Workload feels most reasonable when staffing, scope, and timelines are aligned early.","mixed","workbook_open_ended"
